block,ts,pool,usd,tx
16002751,1668845099,WETH-RGT,1939745.6,0x15a109f6a2e0b0f1f1c4ea6b945282c184fab59005894dbe4d6b89e18b92b67d
15834189,1666810691,$HQ-WETH,1939124.5,0xf40146a4750f10fcd23f07f870a65ec4c0f9dd51ea902112ebe8b621be1a0d54
16002802,1668845723,RAD-WETH,1938325.5,0x5c552eb6249b79cc6152b820f536b19fdcce2557f476f75227b176aaf0b1d411
16002904,1668846947,DINO-WETH,1937307.4,0x242fe76b9deb16026b618ae81c743dd27e81adc300194e703c4e929e217f052e
16003968,1668859763,DINO-WETH,1935786.7,0xf96380d7d55d85e949a912b1e990c5f624fa5ac3dba31652f840e55d761b61c6
16002622,1668843539,SHPING-WETH,1932412.3,0x93f2cd25efd3ab9353b67bfa76fd59ce7c9ece42114259cfa696c770eacde9af
15997274,1668779015,$FORTUNE-WETH,1931006.7,0xa46f500f1374612ccc1d35cd0f4804b6fb89dddbe0591e3451381b8e971b3114
15895957,1667556563,WETH-IMX,1930831.2,0xaba09830ac04ddf59b64cdfa4b0fe4bcb7104e32e9757fc24f906bc71a0a033e
15964908,1668388295,CIRUS-WETH,1929569.5,0xb9dce5782141aedc0f21fd5c840307b35616b66143f7997aa6951114859e48cd
16013496,1668974699,CRAB-WETH,1925216.7,0xd9c6dc0c70554404d10fa3d0e92ffe0c214485e9cc095c5af24787de0c99ffc7
16013505,1668974807,CRAB-WETH,1925187.8,0x382fcf0e204c71304da38b42134db5a595779de3bb02e027b05e046572fd4836
16013453,1668974183,CRAB-WETH,1924362.2,0x0e320377353cf3e36a2cef7a311b5026f06fe9f153aac40321e8922be177088b
16000775,1668821255,HBTC-WETH,1922878.5,0x99ebd53e6633edc3d8d118c8ae888814a0ee260426c3da54247d445ed7f3a6c8
15979783,1668567827,RARE-WETH,1922591.5,0xb2f6a231a3aecceb4d45e8809484c32a674e76f100a29662d4b4f09c5b807b1f
15840212,1666883387,BLXM-USDC,1917630.3,0xffa79f54baf663eaf04f3f90c9553fd6cc8d1d70348f6376846da760dc2008f0
15947369,1668176891,FTX Token-WETH,1914531.0,0xfee8f08b9f42feb42d65a92c60590fc6c05bda62b92cb61ad20b4620d94fa4b4
15959357,1668321455,ELX-WETH,1913588.8,0x5eaca854d044fd7f32d1bc3e728b0e0763092f62cfb1a3cee9fbe625e8e50cd5
15966232,1668404255,NEXO-WETH,1911316.5,0xd264d1a864bd02a1feae52bda208baa0b8c82d6af6bfa57e23b2f6d35e71a0cf
16013179,1668970859,CRAB-WETH,1910062.9,0xa1a6ec37338ff5f9e2f9cd6728dc6a7cb5d32a5ef57bcd07c3f53f60a7eb724f
16012959,1668968207,CRAB-WETH,1907766.5,0x333e7aa5e6d9ba333c4389ff87beb51bd4111429be4fc69c36e7b647c8bc9e5c
16012922,1668967763,CRAB-WETH,1907237.9,0xd2faa7694e991a99e28187d05f7684a61710846d13f7d27734f126325e941e94
16032701,1669206575,CRAB-WETH,1906640.1,0xc5ab7797f9e909f04a322bc3dbb5ef5ceea8d1d156bef3d8e2c76bc543ff6294
15966490,1668407375,CWEB-WETH,1906197.7,0xc03eace5afee50ac48ade369813357027649748e242212a0d73e15a3fe204445
16013639,1668976415,CRAB-WETH,1905000.0,0xc12f4b91792c7f820396cc1e9d4f77231fbe9d01d35ac05f6c84ae267173a66e
15839986,1666880639,LSS-WETH,1904212.3,0x18fd8020ea64986bdb9875f3636e3b5378ea72a205f8a228974423a0794f7a97
16011985,1668956483,CRAB-WETH,1901494.2,0x46e181eee5867012f69e16a92eb71ff0b6dc5736422d6002dcf0f9fb1af0f639
16032497,1669204103,DINO-WETH,1894981.3,0x1087a05bbaee6220728a0b070f019f202645304e16937ea52b85cb069fc2077f
15965054,1668390059,RARE-WETH,1893739.6,0x1792f01b2b34b0f17b35d7be3cb8e663e2a90776ce14c586df9bcd7c06ea55bc
15932673,1667999351,FTX Token-WETH,1893165.7,0x84bad6ff9eeb2bb8f89851161c7ff47c2470fe0f5a79793459c8b82c7711560b
15896885,1667567735,Risk-WETH,1890365.1,0xdb62db4cb651579acdcf0bf1ee6922581528b3ff701dfe9182570c325b396c50
16030692,1669182311,CRAB-WETH,1884914.9,0x7b01d5b7ef5fa3d0d7f207ab121b790b9bdec3ccf6bfef137847d48e68edfad0
15843591,1666924259,$TRUMP-WETH,1881133.5,0xb97bec6e5c402bd50717521b71ad108b31fb33d2a217cc374c0281903191170a
16029804,1669171559,WOOL-WETH,1880682.4,0x44bb135bea03cb257583f3419c0ade229ce75bd9a1cd9af4610f7d5ee9471606
15990216,1668693839,USDC-RFOX,1875674.2,0x63e3b73cedc83ea166633860d6bcaaf48b7cac5080699887a5e9b06f7ce7354c
15969938,1668448943,PP-USDC,1875461.4,0xbaa3de2dd9dff422a5b0577c3a6f0cb3ccb4acd9584969cfc0c32a379285231a
16025141,1669115147,USDC-RFOX,1875271.4,0x877c2bc995a5d6ee762d321fd48b1f865f71f5cbb74811078ed5897f5be51161
15935208,1668030071,FTX Token-WETH,1871800.8,0x174df172337fdce73c840d712f77185a9a345216ab0de7e4b5d5bc94ed344d9d
15933055,1668004007,WETH-RGT,1869850.7,0xcaae1db47e5a8aa751fbee147cfc084c71f769944ad9f62fd65d22b8ef29c580
15932211,1667993747,ethTCG2-WETH,1869659.9,0x60412412914ebd31da15914256ac1adf372a0fa6decb3bc0bec3732fd2893d67
16026849,1669135859,CRAB-WETH,1854240.9,0x470b936dc09b4081197c43f70edd8bd7fcc29bb05037fe008a6ec444d439dc34
16026763,1669134791,CRAB-WETH,1850018.7,0xd1d4ff1aa0c6595f38f4c50ba72000d33a4e0d5341ca56490dd2853191224d9e
15934836,1668025547,CWEB-WETH,1849941.7,0x5fd5985c5daeae17e3381e05432e8e3c09dcf64149a4d27249088f1838cc991c
16019213,1669043663,WETH-RAINI,1843340.1,0x78539979f2d7ba3f16c9e28f9ca17f4ce9d3dc4ea61563949b60f16e390d723f
16015107,1668994139,WETH-BOTS,1842459.8,0x076ff004e57ed85eb29d9c696e4ef9cc4e83e5c4b109f26b7c2abc0dc78b3216
15871197,1667257403,MTS-WETH,1839091.6,0x2e9fb4bd6a18835a8c40543d0a797b0ae5a85ba72779590cec464a76242f5671
15934943,1668026843,UBXT-WETH,1839028.5,0x939fd40561de614f2a7f453aceb266220a4192a48a98bbb6e83ff1cc4e2c2b61
16029269,1669165127,WETH-RGT,1838095.6,0x0c977317301fcb7de267383fa356177e7b0007363e98e87a332f57b94651d9c6
16018014,1669029191,WETH-IMX,1835296.6,0x9fe323aa814f8427cd9a353e21d13a084d58913293cccae611c3eac0cc192248
15933597,1668010559,FTX Token-WETH,1825256.8,0x05dbb979df7e2c23c7d55a805453677ad5cdfd143fd251fdd14dddaa707e2373
16018236,1669031879,CRAB-WETH,1824633.5,0x5f7508064fe998b7c7036f696685fdd6dacaf19d58e2d08cb95ed4a102cbc0f0
